,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
0,PMC8233196,Functional and genomic adaptations of blood monocytes to pregravid obesity during pregnancy,mmc2.xlsx,Nonclassical_Mo-cluster_IV-Unnamed_0,2237,184,2.76,6.79e-41,4.41e-35
1,PMC9562361,Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease,41467_2022_33780_MOESM3_ESM.xlsx,Table_S52-Table_S52,2394,186,2.60,6.21e-38,2.02e-32
2,PMC8233196,Functional and genomic adaptations of blood monocytes to pregravid obesity during pregnancy,mmc2.xlsx,Classical_Mo_-_cluster_I-Unnamed_0,2114,168,2.66,6.37e-35,1.38e-29
3,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_2,2011,161,2.68,1.18e-33,1.92e-28
4,PMC7405822,Severe COVID-19 Is Marked by a Dysregulated Myeloid Cell Compartment,mmc4.xlsx,FigS3A-Marker_genes_for_Cohort_1_monocyte_clusters,1635,141,2.89,1.96e-32,2.13e-27
5,PMC7405822,Severe COVID-19 Is Marked by a Dysregulated Myeloid Cell Compartment,mmc4.xlsx,FigS3A-Unnamed_7,1635,141,2.89,1.96e-32,2.13e-27
6,PMC8233196,Functional and genomic adaptations of blood monocytes to pregravid obesity during pregnancy,mmc2.xlsx,Nonclassical_Mo-_cluster_II-Unnamed_0,1963,156,2.66,4.17e-32,3.87e-27
7,PMC7371367,Monocyte-derived APCs are central to the response of PD1 checkpoint blockade and provide a therapeutic target for combination therapy,jitc-2020-000588supp004.xlsx,DGE_Monos_Responder_Non_Respond-Unnamed_0,2461,175,2.38,1.84e-30,1.50e-25
8,PMC10559315,Epstein-Barr virus evades restrictive host chromatin closure by subverting B cell activation and germinal center regulatory loci,NIHMS1928283-supplement-2.xls,Pred_Genes_Resting_not_Arrest-predicted_linked_genes,1838,147,2.68,2.41e-30,1.74e-25
9,PMC7921413,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,41467_2021_21650_MOESM5_ESM.xlsx,002_DE-CD34-_Blasts_Calprotectin_AZU1,2263,163,2.41,1.05e-28,6.82e-24
10,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_6_ddac043.xlsx,macrophage-inf-ensembl_id,1348,120,2.98,1.64e-28,9.71e-24
11,PMC10060809,Identification of new co-diagnostic genes for sepsis and metabolic syndrome using single-cell data analysis and machine learning algorithms,DataSheet7.CSV,Unnamed_0,1576,131,2.79,2.28e-28,1.24e-23
12,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_6_ddac043.xlsx,macrophage-inf-gene,1360,120,2.96,3.70e-28,1.85e-23
13,PMC7831653,Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid,mmc3.xlsx,DE_mono2_vs_mono1_and_mono3-gene,2422,168,2.32,8.54e-28,3.96e-23
14,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S6-Unnamed_6,2058,152,2.48,1.08e-27,4.69e-23
15,PMC9288051,Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia,13046_2022_2428_MOESM4_ESM.xlsx,Super_enhancers_in_AML10-CLOSEST_GENE,1398,121,2.90,1.22e-27,4.93e-23
16,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_5_ddac043.xlsx,macrophage-inf-ensembl_id,1360,119,2.93,1.39e-27,5.33e-23
17,PMC7854640,Tumour heterogeneity and intercellular networks of nasopharyngeal carcinoma at single cell resolution,41467_2021_21043_MOESM8_ESM.xlsx,Supplementary_Data_5-Unnamed_1,2460,169,2.30,1.69e-27,6.10e-23
18,PMC8663782,Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2,jciinsight-6-152288-s099.xlsx,neut_-_COVID_vs_healthy-Unnamed_20,1347,118,2.94,2.21e-27,7.55e-23
19,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM14_ESM.xlsx,RPS26-Genes,2146,155,2.42,3.02e-27,9.82e-23
20,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_5_ddac043.xlsx,macrophage-inf-gene,1374,119,2.90,3.50e-27,1.08e-22
21,PMC7241832,ASEP: Gene-based detection of allele-specific expression across individuals in a population by RNA sequencing,pgen.1008786.s008.xlsx,Sheet1-Gene,2417,166,2.30,6.34e-27,1.87e-22
22,PMC8135257,Fab-dimerized glycan-reactive antibodies are a structural category of natural antibodies,mmc3.xlsx,GeneList-Data_S5_Gene_list_from_transcriptome_analysis_Related_to_Figure_2,1988,147,2.48,9.88e-27,2.79e-22
23,PMC9992450,Platelet-instructed SPP1+ macrophages drive myofibroblast activation in fibrosis in a CXCL4-dependent manner,mmc6.xlsx,MPC_MarkerGenes_CKD_Kuppe-gene,1903,143,2.52,1.23e-26,3.33e-22
24,PMC7921413,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,41467_2021_21650_MOESM5_ESM.xlsx,002_DE-CD34-_Blasts_Calprotectin_AZU1-,2297,160,2.33,1.73e-26,4.50e-22
25,PMC9878167,High activation levels maintained in receptor‐binding domain–specific memory B cells in people with severe coronavirus disease 2019,IMCB-9999-0-s002.xlsx,Supplementary_table_6-Unnamed_6,2425,165,2.28,2.79e-26,6.96e-22
26,PMC9562361,Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease,41467_2022_33780_MOESM3_ESM.xlsx,Table_S43-Table_S43,1967,145,2.47,3.42e-26,8.01e-22
27,PMC10230780,Analysis of the microglia transcriptome across the human lifespan using single cell RNA sequencing,12974_2023_2809_MOESM5_ESM.xlsx,Table_S2-gene,2335,161,2.31,3.45e-26,8.01e-22
28,PMC4378340,RNA-Seq gene expression profiling of HepG2 cells: the influence of experimental factors and comparison with liver tissue,12864_2014_6832_MOESM4_ESM.xls,d_between_methods-Unnamed_7,2266,158,2.34,3.67e-26,8.23e-22
29,PMC10186977,Multi-omics blood atlas reveals unique features of immune and platelet responses to SARS-CoV-2 Omicron breakthrough infection,mmc8.xlsx,Neutrophil-gene,1494,123,2.76,3.89e-26,8.42e-22
30,PMC6483354,Insights from deconvolution of cell subtype proportions enhance the interpretation of functional genomic data,pone.0215987.s007.xlsx,S5_Table-Unnamed_1,1796,137,2.56,4.76e-26,9.97e-22
31,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,ROC_B-Unnamed_0,2275,157,2.31,1.71e-25,3.09e-21
32,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,MAST_B-Unnamed_0,2275,157,2.31,1.71e-25,3.09e-21
