"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"miRTarBase_2017",1,0,15,5,13,0,34,5.66666666666667,6.74289749786148,1.18992308785791
"MoTrPAC_2023",0,1,0,0,1,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"Mouse_Gene_Atlas",0,0,0,0,0,0,0,0,0,0
"MSigDB_Computational",0,0,0,3,6,0,9,1.5,2.50998007960223,1.67332005306815
"MSigDB_Hallmark_2020",0,0,1,0,3,0,4,0.666666666666667,1.211060141639,1.81659021245849
"MSigDB_Oncogenic_Signatures",15,0,3,1,0,0,19,3.16666666666667,5.91326193117358,1.86734587300218
"NCI-60_Cancer_Cell_Lines",3,0,6,0,3,0,12,2,2.44948974278318,1.22474487139159
"NCI-Nature_2016",0,0,0,3,0,0,3,0.5,1.22474487139159,2.44948974278318
"NIH_Funded_PIs_2017_AutoRIF_ARCHS4_Predictions",3592,893,25,4791,2022,979,12302,2050.33333333333,1815.37562687909,0.88540511797062
"NIH_Funded_PIs_2017_GeneRIF_ARCHS4_Predictions",2623,1860,56,3668,1814,768,10789,1798.16666666667,1286.6303924075,0.715523436318934
"NIH_Funded_PIs_2017_Human_AutoRIF",0,0,0,0,2,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"NIH_Funded_PIs_2017_Human_GeneRIF",0,0,0,0,0,0,0,0,0,0
"NURSA_Human_Endogenous_Complexome",0,0,0,6,1,0,7,1.16666666666667,2.40138848724372,2.05833298906604
"Old_CMAP_down",1,1,0,0,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"Old_CMAP_up",7,0,0,0,14,0,21,3.5,5.85662018573853,1.67332005306815
"OMIM_Disease",0,0,0,0,0,0,0,0,0,0
"OMIM_Expanded",176,0,0,0,0,0,176,29.3333333333333,71.8516991216399,2.44948974278318
"Orphanet_Augmented_2021",671,72,369,440,376,61,1989,331.5,232.778650223769,0.702198039890707
"PanglaoDB_Augmented_2021",3,0,2,2,15,1,23,3.83333333333333,5.56477013601341,1.45167916591654
"Panther_2015",0,0,0,2,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Panther_2016",0,0,0,2,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Pfam_Domains_2019",0,0,0,2,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Pfam_InterPro_Domains",1,0,0,0,0,1,2,0.333333333333333,0.516397779494322,1.54919333848297
"PFOCR_Pathways",0,0,0,3,0,1,4,0.666666666666667,1.211060141639,1.81659021245849
"PFOCR_Pathways_2023",0,0,0,1,0,1,2,0.333333333333333,0.516397779494322,1.54919333848297
"PhenGenI_Association_2021",15,1,59,0,4,0,79,13.1666666666667,23.1639087087362,1.7592842057268
"PheWeb_2019",1,0,1,0,1,0,3,0.5,0.547722557505166,1.09544511501033
"Phosphatase_Substrates_from_DEPOD",0,0,0,0,0,0,0,0,0,0
"PPI_Hub_Proteins",151,119,89,163,135,39,696,116,45.7427589898117,0.394334129222515
"Proteomics_Drug_Atlas_2023",1,0,0,1,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"ProteomicsDB_2020",1,0,3,0,0,0,4,0.666666666666667,1.211060141639,1.81659021245849
"Rare_Diseases_AutoRIF_ARCHS4_Predictions",1192,308,11,1729,497,448,4185,697.5,637.803339596149,0.914413390102005
"Rare_Diseases_AutoRIF_Gene_Lists",0,0,0,0,0,0,0,0,0,0
"Rare_Diseases_GeneRIF_ARCHS4_Predictions",873,416,18,1188,509,293,3297,549.5,419.542965618541,0.763499482472322
"Rare_Diseases_GeneRIF_Gene_Lists",0,0,0,0,2,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Reactome_2013",1,4,0,0,0,0,5,0.833333333333333,1.60208197875972,1.92249837451167
"Reactome_2015",0,0,0,1,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"Reactome_2016",0,0,0,36,62,0,98,16.3333333333333,26.6057637865683,1.62892431346336
"Reactome_2022",0,0,0,15,1,1,17,2.83333333333333,5.98052394583172,2.11077315735237
"RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO",954,859,574,1054,1052,477,4970,828.333333333333,247.307635682093,0.298560525974357
"RNAseq_Automatic_GEO_Signatures_Human_Down",3087,2098,2051,2204,2349,1087,12876,2146,642.318301156055,0.299309553194806
"RNAseq_Automatic_GEO_Signatures_Human_Up",3196,2575,2322,2657,2546,1134,14430,2405,687.065644607559,0.285682180710004
"RNAseq_Automatic_GEO_Signatures_Mouse_Down",2938,1977,2068,1849,1874,1170,11876,1979.33333333333,567.452435598497,0.286688667361989
"RNAseq_Automatic_GEO_Signatures_Mouse_Up",3006,2083,1945,1930,2184,1078,12226,2037.66666666667,616.810721912863,0.30270442757052
"Rummagene_kinases",262,47,104,133,166,7,719,119.833333333333,90.3358548233572,0.753845798247765
"Rummagene_signatures",387,100,168,70,189,14,928,154.666666666667,130.598111267609,0.844384340092297
"Rummagene_transcription_factors",523,147,313,215,387,48,1633,272.166666666667,171.439104835118,0.629904855487268
"SILAC_Phosphoproteomics",0,0,0,1,3,0,4,0.666666666666667,1.211060141639,1.81659021245849
"SubCell_BarCode",5,0,0,0,0,0,5,0.833333333333333,2.04124145231932,2.44948974278318
"SynGO_2022",0,1,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
