"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"Achilles_fitness_decrease",0,1,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"Achilles_fitness_increase",0,0,0,0,0,0,0,0,0,0
"Aging_Perturbations_from_GEO_down",33,62,25,55,24,7,206,34.3333333333333,20.6655913698754,0.601910428248797
"Aging_Perturbations_from_GEO_up",47,45,0,62,48,24,226,37.6666666666667,22.1148517215618,0.587119957209606
"Allen_Brain_Atlas_10x_scRNA_2021",4,1,0,2,5,1,13,2.16666666666667,1.94079021706795,0.895749330954439
"Allen_Brain_Atlas_down",0,0,0,0,0,0,0,0,0,0
"Allen_Brain_Atlas_up",0,0,0,0,0,0,0,0,0,0
"ARCHS4_Cell-lines",0,0,0,0,0,0,0,0,0,0
"ARCHS4_IDG_Coexp",52,49,14,82,32,23,252,42,24.4703902706925,0.582628339778392
"ARCHS4_Kinases_Coexp",168,173,60,237,146,133,917,152.833333333333,57.9289795065187,0.379033671798378
"ARCHS4_TFs_Coexp",493,493,332,565,459,381,2723,453.833333333333,84.3810800278514,0.185929665871138
"ARCHS4_Tissues",0,0,0,0,0,0,0,0,0,0
"Azimuth_2023",0,0,0,0,0,0,0,0,0,0
"Azimuth_Cell_Types_2021",0,0,0,0,3,0,3,0.5,1.22474487139159,2.44948974278318
"BioCarta_2013",0,0,1,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"BioCarta_2015",0,1,1,0,1,0,3,0.5,0.547722557505166,1.09544511501033
"BioCarta_2016",0,1,1,0,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"BioPlanet_2019",0,15,0,4,19,0,38,6.33333333333333,8.50098033562404,1.34226005299327
"BioPlex_2017",0,0,0,0,0,1,1,0.166666666666667,0.408248290463863,2.44948974278318
"Cancer_Cell_Line_Encyclopedia",0,0,0,4,16,6,26,4.33333333333333,6.25033332444492,1.44238461333344
"CCLE_Proteomics_2020",1,0,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"CellMarker_2024",5,3,1,3,31,8,51,8.5,11.273863579093,1.326336891658
"CellMarker_Augmented_2021",4,3,0,103,74,6,190,31.6666666666667,45.0096285995193,1.4213566926164
"ChEA_2013",44,33,42,62,49,42,272,45.3333333333333,9.66781602362533,0.21326064757997
"ChEA_2015",47,35,42,62,50,43,279,46.5,9.13783344124853,0.196512547123624
"ChEA_2016",53,38,48,66,63,49,317,52.8333333333333,10.3424690798023,0.195756512551463
"ChEA_2022",14,11,9,26,32,8,100,16.6666666666667,9.9532239333126,0.597193435998756
"Chromosome_Location",0,2,7,4,0,0,13,2.16666666666667,2.85773803324704,1.31895601534479
"Chromosome_Location_hg19",0,0,0,0,0,0,0,0,0,0
"ClinVar_2019",0,0,0,0,0,0,0,0,0,0
"CORUM",0,0,0,0,0,0,0,0,0,0
"COVID-19_Related_Gene_Sets",53,71,13,39,43,22,241,40.1666666666667,20.9419833508354,0.521377178858972
"COVID-19_Related_Gene_Sets_2021",103,145,21,92,85,44,490,81.6666666666667,44.007575105505,0.538868266598021
"Data_Acquisition_Method_Most_Popular_Genes",1,0,1,0,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"dbGaP",0,0,0,0,0,0,0,0,0,0
"DepMap_CRISPR_GeneDependency_CellLines_2023",0,0,0,27,0,0,27,4.5,11.0227038425243,2.44948974278318
"DepMap_WG_CRISPR_Screens_Broad_CellLines_2019",0,0,0,3,0,0,3,0.5,1.22474487139159,2.44948974278318
"DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019",0,5,0,15,0,0,20,3.33333333333333,6.05530070819498,1.81659021245849
"Descartes_Cell_Types_and_Tissue_2021",0,5,1,5,11,11,33,5.5,4.72228758124704,0.858597742044916
"DGIdb_Drug_Targets_2024",0,0,0,0,0,0,0,0,0,0
"Diabetes_Perturbations_GEO_2022",0,3,0,0,0,0,3,0.5,1.22474487139159,2.44948974278318
"Disease_Perturbations_from_GEO_down",192,256,85,277,280,91,1181,196.833333333333,90.0831097746224,0.457661861683094
"Disease_Perturbations_from_GEO_up",276,319,61,273,306,143,1378,229.666666666667,103.72206451217,0.451620019646602
"Disease_Signatures_from_GEO_down_2014",0,0,0,0,0,0,0,0,0,0
"Disease_Signatures_from_GEO_up_2014",0,0,0,0,0,0,0,0,0,0
"DisGeNET",0,4,0,2,3,0,9,1.5,1.7606816861659,1.17378779077727
"Drug_Perturbations_from_GEO_2014",248,247,206,313,280,186,1480,246.666666666667,46.5775339264185,0.188827840242237
"Drug_Perturbations_from_GEO_down",300,351,93,384,339,107,1574,262.333333333333,128.65716717955,0.490433928257497
"Drug_Perturbations_from_GEO_up",385,363,39,395,345,119,1646,274.333333333333,154.384800633568,0.562763550304624
"DrugMatrix",29,0,0,7,0,12,48,8,11.4017542509914,1.42521928137392
