"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"DSigDB",88,9,20,4,78,1,200,33.3333333333333,39.1390682907331,1.17417204872199
"Elsevier_Pathway_Collection",0,1,1,28,0,0,30,5,11.2782977438973,2.25565954877947
"ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X",2,1,2,2,6,0,13,2.16666666666667,2.04124145231932,0.942111439531992
"ENCODE_Histone_Modifications_2013",2,0,0,0,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"ENCODE_Histone_Modifications_2015",3,0,3,0,0,1,7,1.16666666666667,1.47196014438797,1.26168012376112
"ENCODE_TF_ChIP-seq_2014",0,0,0,0,0,0,0,0,0,0
"ENCODE_TF_ChIP-seq_2015",28,10,4,14,19,0,75,12.5,10.1931349446576,0.815450795572608
"Enrichr_Libraries_Most_Popular_Genes",6,0,3,10,6,0,25,4.16666666666667,3.92003401345788,0.94080816322989
"Enrichr_Submissions_TF-Gene_Coocurrence",875,285,975,690,1141,154,4120,686.666666666667,392.45517790783,0.571536666856064
"Enrichr_Users_Contributed_Lists_2020",815,622,566,682,634,417,3736,622.666666666667,131.264110352627,0.210809599067388
"Epigenomics_Roadmap_HM_ChIP-seq",0,0,0,0,0,0,0,0,0,0
"ESCAPE",35,15,18,25,23,11,127,21.1666666666667,8.49509662491644,0.401343147633847
"FANTOM6_lncRNA_KD_DEGs",28,0,26,0,1,3,58,9.66666666666667,13.485794995723,1.39508224093686
"GeDiPNet_2023",0,0,0,0,3,0,3,0.5,1.22474487139159,2.44948974278318
"Gene_Perturbations_from_GEO_down",1516,878,773,1154,1135,335,5791,965.166666666667,402.38161820176,0.416903766052592
"Gene_Perturbations_from_GEO_up",1670,988,870,1206,1263,399,6396,1066,427.226871814028,0.400775677123854
"Genes_Associated_with_NIH_Grants",0,0,0,19,0,0,19,3.16666666666667,7.7567175188134,2.44948974278318
"GeneSigDB",438,113,134,110,250,35,1080,180,144.217890707083,0.801210503928236
"Genome_Browser_PWMs",60,5,98,13,17,1,194,32.3333333333333,38.5106046001185,1.19104962680779
"GlyGen_Glycosylated_Proteins_2022",0,0,0,0,1,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"GO_Biological_Process_2013",1,0,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"GO_Biological_Process_2015",11,15,21,17,0,1,65,10.8333333333333,8.63519928355256,0.797095318481775
"GO_Biological_Process_2017",0,0,0,1,3,3,7,1.16666666666667,1.47196014438797,1.26168012376112
"GO_Biological_Process_2017b",9,0,20,0,75,48,152,25.3333333333333,30.1971301064632,1.19199197788671
"GO_Biological_Process_2018",6,2,1,0,2,3,14,2.33333333333333,2.06559111797729,0.885253336275981
"GO_Biological_Process_2021",3,0,3,1,0,3,10,1.66666666666667,1.50554530541816,0.903327183250897
"GO_Biological_Process_2023",5,0,2,1,1,0,9,1.5,1.87082869338697,1.24721912892465
"GO_Cellular_Component_2013",1,0,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"GO_Cellular_Component_2015",2,1,0,0,2,0,5,0.833333333333333,0.983192080250175,1.17983049630021
"GO_Cellular_Component_2017",1,0,0,0,1,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"GO_Cellular_Component_2017b",0,0,8,0,14,0,22,3.66666666666667,5.98887858172685,1.63333052228914
"GO_Cellular_Component_2018",0,0,1,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"GO_Cellular_Component_2021",4,0,0,0,0,0,4,0.666666666666667,1.63299316185545,2.44948974278318
"GO_Cellular_Component_2023",4,0,0,0,0,0,4,0.666666666666667,1.63299316185545,2.44948974278318
"GO_Molecular_Function_2013",0,0,0,0,0,1,1,0.166666666666667,0.408248290463863,2.44948974278318
"GO_Molecular_Function_2015",7,1,5,2,7,0,22,3.66666666666667,3.07679486912382,0.839125873397406
"GO_Molecular_Function_2017",0,0,0,1,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"GO_Molecular_Function_2017b",43,0,0,28,0,0,71,11.8333333333333,18.9358566393672,1.60021323712962
"GO_Molecular_Function_2018",0,0,0,1,4,1,6,1,1.54919333848297,1.54919333848297
"GO_Molecular_Function_2021",0,1,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"GO_Molecular_Function_2023",0,0,0,1,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"GTEx_Aging_Signatures_2021",16,13,17,0,3,4,53,8.83333333333333,7.35980072193987,0.833184987389419
"GTEx_Tissue_Expression_Down",1,1,0,0,1,0,3,0.5,0.547722557505166,1.09544511501033
"GTEx_Tissue_Expression_Up",0,1,1,0,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"GTEx_Tissues_V8_2023",5,0,37,0,8,1,51,8.5,14.3213127889869,1.68486032811611
"GWAS_Catalog_2019",62,5,60,3,14,7,151,25.1666666666667,28.0101172197952,1.11298479019054
"GWAS_Catalog_2023",64,15,44,3,19,0,145,24.1666666666667,24.9913318305901,1.03412407574856
"HDSigDB_Human_2021",486,358,308,313,326,143,1934,322.333333333333,110.023027892649,0.341333075158167
"HDSigDB_Mouse_2021",521,411,344,322,350,211,2159,359.833333333333,102.491788288949,0.284831278246268
"HMDB_Metabolites",0,0,0,0,0,0,0,0,0,0
