"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"HMS_LINCS_KinomeScan",0,1,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"HomoloGene",0,0,0,0,0,0,0,0,0,0
"HuBMAP_ASCT_plus_B_augmented_w_RNAseq_Coexpression",13,0,7,9,50,7,86,14.3333333333333,17.974055376199,1.25400386345574
"HuBMAP_ASCTplusB_augmented_2022",50,11,32,3,85,10,191,31.8333333333333,31.301224683176,0.983284545021236
"Human_Gene_Atlas",0,0,0,0,0,0,0,0,0,0
"Human_Phenotype_Ontology",0,0,0,0,0,3,3,0.5,1.22474487139159,2.44948974278318
"HumanCyc_2015",0,0,0,0,0,2,2,0.333333333333333,0.816496580927726,2.44948974278318
"HumanCyc_2016",0,0,0,0,1,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"huMAP",0,0,0,0,0,0,0,0,0,0
"IDG_Drug_Targets_2022",0,0,1,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"InterPro_Domains_2019",2,0,0,0,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Jensen_COMPARTMENTS",12,4,0,1,0,0,17,2.83333333333333,4.75043857624395,1.67662537985081
"Jensen_DISEASES",3,0,5,0,0,0,8,1.33333333333333,2.16024689946929,1.62018517460197
"Jensen_TISSUES",2,0,0,2,2,0,6,1,1.09544511501033,1.09544511501033
"KEA_2013",0,0,0,1,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"KEA_2015",1,0,0,0,1,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"KEGG_2013",0,2,1,0,0,1,4,0.666666666666667,0.816496580927726,1.22474487139159
"KEGG_2015",0,2,1,0,5,1,9,1.5,1.87082869338697,1.24721912892465
"KEGG_2016",0,7,4,16,0,1,28,4.66666666666667,6.18600571181976,1.32557265253281
"KEGG_2019_Human",0,11,4,25,7,1,48,8,9.2520268049763,1.15650335062204
"KEGG_2019_Mouse",37,16,4,47,42,0,146,24.3333333333333,20.3043509294601,0.834425380662743
"KEGG_2021_Human",4,12,4,31,7,1,59,9.83333333333333,11.0166540594986,1.12033770096596
"Kinase_Perturbations_from_GEO_down",11,6,7,18,5,3,50,8.33333333333333,5.42832079621927,0.651398495546313
"Kinase_Perturbations_from_GEO_up",16,0,8,12,12,3,51,8.5,6.05805249234438,0.712712057922869
"KOMP2_Mouse_Phenotypes_2022",0,0,0,0,0,0,0,0,0,0
"L1000_Kinase_and_GPCR_Perturbations_down",0,0,0,0,0,0,0,0,0,0
"L1000_Kinase_and_GPCR_Perturbations_up",0,0,0,0,0,0,0,0,0,0
"Ligand_Perturbations_from_GEO_down",39,15,21,27,41,0,143,23.8333333333333,15.4196843893339,0.646979764587435
"Ligand_Perturbations_from_GEO_up",66,28,33,58,71,6,262,43.6666666666667,25.4139069540019,0.581997869175616
"LINCS_L1000_Chem_Pert_Consensus_Sigs",315,0,175,0,1,0,491,81.8333333333333,133.91850755839,1.63647870743451
"LINCS_L1000_Chem_Pert_down",0,0,0,0,0,0,0,0,0,0
"LINCS_L1000_Chem_Pert_up",0,0,0,0,1,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"LINCS_L1000_CRISPR_KO_Consensus_Sigs",153,0,335,0,2,0,490,81.6666666666667,138.290515461714,1.6933532505516
"LINCS_L1000_Ligand_Perturbations_down",0,0,0,0,0,0,0,0,0,0
"LINCS_L1000_Ligand_Perturbations_up",3,0,0,0,4,0,7,1.16666666666667,1.83484785926972,1.5727267365169
"lncHUB_lncRNA_Co-Expression",66,8,59,4,58,0,195,32.5,31.4436003027643,0.96749539393121
"MAGMA_Drugs_and_Diseases",0,0,0,0,0,0,0,0,0,0
"MAGNET_2023",6,4,0,0,5,1,16,2.66666666666667,2.65832027165025,0.996870101868844
"MCF7_Perturbations_from_GEO_down",56,11,54,12,39,0,172,28.6666666666667,24.1136199411591,0.841172788645085
"MCF7_Perturbations_from_GEO_up",70,12,54,45,58,0,239,39.8333333333333,27.6724893471236,0.694706845534482
"Metabolomics_Workbench_Metabolites_2022",1,0,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"MGI_Mammalian_Phenotype_2013",135,70,102,95,51,39,492,82,35.5865142996613,0.433981881703187
"MGI_Mammalian_Phenotype_2017",0,0,1,4,2,0,7,1.16666666666667,1.60208197875972,1.37321312465119
"MGI_Mammalian_Phenotype_Level_3",14,14,15,13,9,9,74,12.3333333333333,2.65832027165025,0.215539481485156
"MGI_Mammalian_Phenotype_Level_4",131,71,104,95,52,39,492,82,34.4209238690655,0.419767364256896
"MGI_Mammalian_Phenotype_Level_4_2019",14,0,15,0,0,0,29,4.83333333333333,7.4944423853057,1.55057428661497
"MGI_Mammalian_Phenotype_Level_4_2021",0,0,1,3,0,0,4,0.666666666666667,1.211060141639,1.81659021245849
"MGI_Mammalian_Phenotype_Level_4_2024",0,0,1,7,0,0,8,1.33333333333333,2.80475786239502,2.10356839679626
"Microbe_Perturbations_from_GEO_down",59,29,33,63,70,12,266,44.3333333333333,22.9405027553161,0.517454949368033
"Microbe_Perturbations_from_GEO_up",88,45,15,20,85,0,253,42.1666666666667,37.2849388717035,0.884227799328937
