"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"SynGO_2024",0,0,0,0,0,0,0,0,0,0
"SysMyo_Muscle_Gene_Sets",59,21,1,28,10,13,132,22,20.3568170399992,0.925309865454507
"Table_Mining_of_CRISPR_Studies",1,0,0,2,1,1,5,0.833333333333333,0.752772652709081,0.903327183250897
"Tabula_Muris",0,0,6,5,12,7,30,5,4.56070170039655,0.91214034007931
"Tabula_Sapiens",0,0,0,0,0,0,0,0,0,0
"TargetScan_microRNA",0,1,0,0,2,1,4,0.666666666666667,0.816496580927726,1.22474487139159
"TargetScan_microRNA_2017",2,1,1,22,7,3,36,6,8.14861951498535,1.35810325249756
"TF-LOF_Expression_from_GEO",0,0,0,0,0,0,0,0,0,0
"TF_Perturbations_Followed_by_Expression",331,448,53,341,419,181,1773,295.5,150.834677710399,0.510438841659557
"TG_GATES_2020",0,1,2,0,4,0,7,1.16666666666667,1.60208197875972,1.37321312465119
"The_Kinase_Library_2023",0,0,0,0,0,0,0,0,0,0
"The_Kinase_Library_2024",0,0,0,0,0,0,0,0,0,0
"Tissue_Protein_Expression_from_Human_Proteome_Map",0,0,0,0,0,0,0,0,0,0
"Tissue_Protein_Expression_from_ProteomicsDB",0,0,0,0,0,0,0,0,0,0
"Transcription_Factor_PPIs",6,0,0,1,0,0,7,1.16666666666667,2.40138848724372,2.05833298906604
"TRANSFAC_and_JASPAR_PWMs",0,0,3,3,0,0,6,1,1.54919333848297,1.54919333848297
"TRRUST_Transcription_Factors_2019",0,0,0,1,1,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"UK_Biobank_GWAS_v1",0,0,0,4,3,0,7,1.16666666666667,1.83484785926972,1.5727267365169
"Virus-Host_PPI_P-HIPSTer_2020",0,4039,0,0,0,0,4039,673.166666666667,1648.91484518354,2.44948974278318
"Virus_Perturbations_from_GEO_down",0,0,0,0,0,0,0,0,0,0
"Virus_Perturbations_from_GEO_up",0,0,0,0,0,0,0,0,0,0
"VirusMINT",0,0,0,1,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"WikiPathway_2021_Human",0,3,0,0,14,2,19,3.16666666666667,5.45588367422425,1.72291063396555
"WikiPathway_2023_Human",0,5,0,1,20,0,26,4.33333333333333,7.91622805802528,1.8268218595443
"WikiPathways_2013",0,1,0,0,2,1,4,0.666666666666667,0.816496580927726,1.22474487139159
"WikiPathways_2015",0,5,0,0,14,5,24,4,5.47722557505166,1.36930639376292
"WikiPathways_2016",0,5,0,0,15,3,23,3.83333333333333,5.84522597225006,1.52484155797828
"WikiPathways_2019_Human",0,4,0,0,11,0,15,2.5,4.46094160463909,1.78437664185564
"WikiPathways_2019_Mouse",0,3,0,0,6,2,11,1.83333333333333,2.40138848724372,1.3098482657693
"WikiPathways_2024_Human",0,5,0,1,21,0,27,4.5,8.31264097624816,1.84725355027737
"WikiPathways_2024_Mouse",0,2,0,5,2,2,11,1.83333333333333,1.83484785926972,1.00082610505621
