"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"miRTarBase_2017",4,6,0,5,0,0,15,2.5,2.81069386451104,1.12427754580442
"MoTrPAC_2023",0,0,0,2,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Mouse_Gene_Atlas",0,0,0,0,0,0,0,0,0,0
"MSigDB_Computational",1,4,0,9,1,7,22,3.66666666666667,3.66969571853944,1.00082610505621
"MSigDB_Hallmark_2020",1,0,0,0,1,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"MSigDB_Oncogenic_Signatures",2,0,5,1,3,0,11,1.83333333333333,1.94079021706795,1.05861284567343
"NCI-60_Cancer_Cell_Lines",1,2,0,3,3,0,9,1.5,1.37840487520902,0.918936583472681
"NCI-Nature_2016",0,5,0,0,5,0,10,1.66666666666667,2.58198889747161,1.54919333848297
"NIH_Funded_PIs_2017_AutoRIF_ARCHS4_Predictions",4709,4460,9,3061,751,1670,14660,2443.33333333333,1947.80478145698,0.79719158859085
"NIH_Funded_PIs_2017_GeneRIF_ARCHS4_Predictions",3340,2986,54,3004,1324,1933,12641,2106.83333333333,1261.40499708328,0.598720827663925
"NIH_Funded_PIs_2017_Human_AutoRIF",0,0,0,0,8,0,8,1.33333333333333,3.2659863237109,2.44948974278318
"NIH_Funded_PIs_2017_Human_GeneRIF",0,0,0,0,0,0,0,0,0,0
"NURSA_Human_Endogenous_Complexome",162,20,0,645,0,217,1044,174,248.234566489037,1.42663543959217
"Old_CMAP_down",3,0,0,0,0,0,3,0.5,1.22474487139159,2.44948974278318
"Old_CMAP_up",0,4,1,0,71,0,76,12.6666666666667,28.6193407797361,2.25942164050548
"OMIM_Disease",0,0,0,0,0,0,0,0,0,0
"OMIM_Expanded",172,0,0,179,0,177,528,88,96.4261375354214,1.09575156290252
"Orphanet_Augmented_2021",174,178,120,251,216,83,1022,170.333333333333,61.360139069812,0.360235650116313
"PanglaoDB_Augmented_2021",0,2,2,21,14,6,45,7.5,8.28854631404084,1.10513950853878
"Panther_2015",0,0,0,0,0,0,0,0,0,0
"Panther_2016",0,0,0,0,1,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"Pfam_Domains_2019",0,2,0,1,3,0,6,1,1.26491106406735,1.26491106406735
"Pfam_InterPro_Domains",0,0,0,1,2,0,3,0.5,0.836660026534076,1.67332005306815
"PFOCR_Pathways",2,1,0,0,6,2,11,1.83333333333333,2.2286019533929,1.21560106548704
"PFOCR_Pathways_2023",1,2,0,3,8,2,16,2.66666666666667,2.80475786239502,1.05178419839813
"PhenGenI_Association_2021",0,0,0,3,2,1,6,1,1.26491106406735,1.26491106406735
"PheWeb_2019",0,0,0,0,0,0,0,0,0,0
"Phosphatase_Substrates_from_DEPOD",0,0,0,0,0,0,0,0,0,0
"PPI_Hub_Proteins",110,117,39,134,111,74,585,97.5,34.7145502635422,0.356046669369664
"Proteomics_Drug_Atlas_2023",0,0,0,1,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"ProteomicsDB_2020",0,0,0,0,7,0,7,1.16666666666667,2.85773803324704,2.44948974278318
"Rare_Diseases_AutoRIF_ARCHS4_Predictions",1811,1695,2,1292,171,763,5734,955.666666666667,768.587188721401,0.804241913555704
"Rare_Diseases_AutoRIF_Gene_Lists",0,0,0,0,0,0,0,0,0,0
"Rare_Diseases_GeneRIF_ARCHS4_Predictions",1022,944,0,890,222,461,3539,589.833333333333,424.759892959148,0.720135450057894
"Rare_Diseases_GeneRIF_Gene_Lists",0,0,0,0,4,0,4,0.666666666666667,1.63299316185545,2.44948974278318
"Reactome_2013",0,2,0,0,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Reactome_2015",0,2,0,0,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Reactome_2016",0,2,0,0,0,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"Reactome_2022",0,5,0,5,3,0,13,2.16666666666667,2.48327740429189,1.1461280327501
"RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO",902,903,607,1060,1052,899,5423,903.833333333333,163.999288616343,0.181448595186808
"RNAseq_Automatic_GEO_Signatures_Human_Down",1516,972,1249,1834,1890,697,8158,1359.66666666667,475.887661813864,0.350003183486539
"RNAseq_Automatic_GEO_Signatures_Human_Up",2142,1420,1147,2216,1971,1173,10069,1678.16666666667,488.700078439391,0.291210693280002
"RNAseq_Automatic_GEO_Signatures_Mouse_Down",1386,682,891,1557,1381,770,6667,1111.16666666667,373.138803485602,0.335808132730405
"RNAseq_Automatic_GEO_Signatures_Mouse_Up",1590,1068,801,1661,1707,824,7651,1275.16666666667,425.622093724781,0.333777618918924
"Rummagene_kinases",84,56,38,115,108,27,428,71.3333333333333,36.6696968444882,0.514061170717124
"Rummagene_signatures",86,76,17,77,118,13,387,64.5,41.2831684830513,0.640049123768237
"Rummagene_transcription_factors",277,130,13,203,267,64,954,159,108.356817967307,0.681489421178028
"SILAC_Phosphoproteomics",0,0,0,4,1,0,5,0.833333333333333,1.60208197875972,1.92249837451167
"SubCell_BarCode",0,0,0,0,0,0,0,0,0,0
"SynGO_2022",0,0,0,0,0,0,0,0,0,0
