"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"SynGO_2024",0,0,0,0,0,0,0,0,0,0
"SysMyo_Muscle_Gene_Sets",246,34,74,15,68,7,444,74,88.5324799155654,1.19638486372386
"Table_Mining_of_CRISPR_Studies",3,0,1,0,4,0,8,1.33333333333333,1.75119007154183,1.31339255365637
"Tabula_Muris",0,0,0,1,5,5,11,1.83333333333333,2.48327740429189,1.35451494779558
"Tabula_Sapiens",0,0,0,0,0,0,0,0,0,0
"TargetScan_microRNA",6,0,6,0,5,3,20,3.33333333333333,2.80475786239502,0.841427358718505
"TargetScan_microRNA_2017",36,31,30,35,34,36,202,33.6666666666667,2.58198889747161,0.0766927395288597
"TF-LOF_Expression_from_GEO",0,0,0,0,0,0,0,0,0,0
"TF_Perturbations_Followed_by_Expression",406,103,197,168,419,11,1304,217.333333333333,164.169018595674,0.755378919918744
"TG_GATES_2020",47,1,11,0,0,0,59,9.83333333333333,18.7127407577476,1.90299058553365
"The_Kinase_Library_2023",0,0,0,0,0,0,0,0,0,0
"The_Kinase_Library_2024",1,0,0,0,0,5,6,1,2,2
"Tissue_Protein_Expression_from_Human_Proteome_Map",0,0,0,0,0,0,0,0,0,0
"Tissue_Protein_Expression_from_ProteomicsDB",0,0,0,0,0,0,0,0,0,0
"Transcription_Factor_PPIs",6,0,0,1,0,0,7,1.16666666666667,2.40138848724372,2.05833298906604
"TRANSFAC_and_JASPAR_PWMs",17,0,7,3,1,0,28,4.66666666666667,6.59292550137393,1.41276975029441
"TRRUST_Transcription_Factors_2019",0,0,0,1,1,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"UK_Biobank_GWAS_v1",43,8,68,8,9,0,136,22.6666666666667,26.8303310949878,1.18369107772005
"Virus-Host_PPI_P-HIPSTer_2020",0,2580,0,4224,0,0,6804,1134,1832.09388405726,1.6156030723609
"Virus_Perturbations_from_GEO_down",0,0,0,0,0,0,0,0,0,0
"Virus_Perturbations_from_GEO_up",0,0,0,0,0,0,0,0,0,0
"VirusMINT",0,0,0,1,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"WikiPathway_2021_Human",0,0,1,1,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"WikiPathway_2023_Human",0,0,1,1,1,0,3,0.5,0.547722557505166,1.09544511501033
"WikiPathways_2013",0,2,0,3,0,0,5,0.833333333333333,1.32916013582513,1.59499216299015
"WikiPathways_2015",0,0,0,18,0,0,18,3,7.34846922834953,2.44948974278318
"WikiPathways_2016",0,0,0,11,3,0,14,2.33333333333333,4.41210456207315,1.89090195517421
"WikiPathways_2019_Human",0,0,1,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"WikiPathways_2019_Mouse",0,3,0,10,0,0,13,2.16666666666667,4.02077936060494,1.8557443202792
"WikiPathways_2024_Human",0,0,1,4,1,0,6,1,1.54919333848297,1.54919333848297
"WikiPathways_2024_Mouse",0,2,0,8,0,0,10,1.66666666666667,3.20416395751944,1.92249837451167
